epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
155,5211.95,0.77056,0.93668,0.98081,0.89218,0.77094,0.84239,0.6316,1.07392,1.72326,1.2633,0.00538,0.00538,0.00538
156,5245.23,0.77738,0.94617,0.97783,0.88066,0.78049,0.84272,0.63217,1.06592,1.72373,1.25719,0.00535,0.00535,0.00535
157,5278.68,0.76634,0.93895,0.9814,0.89198,0.77059,0.8425,0.63458,1.07614,1.71245,1.26759,0.00532,0.00532,0.00532
158,5312.54,0.77348,0.93865,0.97798,0.88939,0.76458,0.83918,0.63393,1.08027,1.71308,1.27072,0.00529,0.00529,0.00529
159,5346.47,0.76787,0.93193,0.97614,0.89224,0.76458,0.84039,0.63325,1.07704,1.7137,1.26118,0.00526,0.00526,0.00526
160,5379.76,0.76189,0.92355,0.976,0.87759,0.77519,0.83882,0.63321,1.0815,1.70145,1.26708,0.00523,0.00523,0.00523
161,5413.26,0.76169,0.93016,0.97447,0.87159,0.78367,0.84239,0.63409,1.08011,1.71618,1.26579,0.0052,0.0052,0.0052
162,5446.77,0.7723,0.9312,0.97494,0.85614,0.80146,0.84199,0.63375,1.07964,1.72811,1.26891,0.00517,0.00517,0.00517
163,5480.47,0.75783,0.91989,0.96833,0.8575,0.79769,0.84367,0.63156,1.07187,1.73355,1.26644,0.00514,0.00514,0.00514
164,5513.49,0.75684,0.93137,0.97281,0.86294,0.79455,0.8451,0.63346,1.07876,1.74021,1.26771,0.00511,0.00511,0.00511
165,5546.66,0.74936,0.91232,0.97337,0.88669,0.78155,0.84677,0.63252,1.07402,1.74364,1.26196,0.00508,0.00508,0.00508
166,5579.92,0.76575,0.91917,0.98068,0.8868,0.7809,0.84384,0.63253,1.07426,1.72742,1.26683,0.00505,0.00505,0.00505
167,5613.1,0.75724,0.92451,0.97468,0.88716,0.77837,0.84301,0.63063,1.07982,1.73719,1.27181,0.00502,0.00502,0.00502
168,5646.87,0.75143,0.91374,0.96816,0.89036,0.77501,0.84136,0.63232,1.07376,1.73903,1.26518,0.00499,0.00499,0.00499
169,5680.65,0.74684,0.91234,0.97003,0.88683,0.77286,0.8378,0.62992,1.07728,1.72198,1.26953,0.00496,0.00496,0.00496
170,5714.29,0.75736,0.91129,0.97249,0.87326,0.7818,0.8373,0.63212,1.07602,1.73286,1.26982,0.00493,0.00493,0.00493
171,5747.94,0.75495,0.90016,0.97191,0.87805,0.77878,0.83753,0.6319,1.07555,1.71967,1.27357,0.0049,0.0049,0.0049
172,5781.47,0.74148,0.89756,0.96078,0.8966,0.76458,0.83581,0.63164,1.07789,1.71079,1.28069,0.00487,0.00487,0.00487
173,5815.13,0.74916,0.90731,0.9708,0.88125,0.78049,0.83826,0.63167,1.07228,1.69326,1.27664,0.00484,0.00484,0.00484
174,5848.68,0.74706,0.90324,0.97061,0.89559,0.77317,0.84066,0.63145,1.06887,1.69603,1.27365,0.00481,0.00481,0.00481
175,5882.5,0.73614,0.89586,0.96368,0.89617,0.76881,0.84066,0.63373,1.06962,1.66835,1.27613,0.00478,0.00478,0.00478
176,5915.96,0.74344,0.89765,0.97128,0.90079,0.77026,0.84141,0.63543,1.06697,1.66631,1.27824,0.00475,0.00475,0.00475
177,5949.47,0.74053,0.90613,0.96521,0.89512,0.76934,0.8421,0.63516,1.06781,1.66015,1.28352,0.00472,0.00472,0.00472
178,5983.16,0.73777,0.8988,0.96343,0.88744,0.772,0.83979,0.63544,1.06449,1.66308,1.28066,0.00469,0.00469,0.00469
179,6016.84,0.74159,0.90084,0.96919,0.89006,0.77268,0.8371,0.63786,1.05549,1.67018,1.27248,0.00466,0.00466,0.00466
180,6050.47,0.73461,0.8893,0.9605,0.88973,0.77094,0.83972,0.63928,1.05358,1.64829,1.26817,0.00463,0.00463,0.00463
181,6083.8,0.71695,0.86961,0.95594,0.90025,0.76564,0.83819,0.63978,1.0513,1.63519,1.26392,0.0046,0.0046,0.0046
182,6117.7,0.73866,0.89641,0.96578,0.90015,0.7667,0.84105,0.64052,1.05389,1.64479,1.26494,0.00457,0.00457,0.00457
183,6151.45,0.72659,0.88942,0.96255,0.87148,0.79099,0.84312,0.63938,1.05388,1.63953,1.26761,0.00454,0.00454,0.00454
184,6184.65,0.72916,0.88515,0.96325,0.86385,0.79958,0.84601,0.64055,1.05405,1.63109,1.26937,0.00451,0.00451,0.00451
185,6217.81,0.73656,0.89629,0.96849,0.87211,0.79533,0.84467,0.63983,1.05451,1.62427,1.27,0.00448,0.00448,0.00448
186,6248.15,0.72134,0.8746,0.95758,0.87559,0.79113,0.84686,0.63828,1.05896,1.62804,1.27294,0.00445,0.00445,0.00445
187,6278.51,0.72861,0.87919,0.96006,0.87807,0.79003,0.84399,0.63552,1.06013,1.63731,1.27525,0.00442,0.00442,0.00442
188,6307.62,0.71895,0.87312,0.95911,0.87647,0.79003,0.84385,0.63599,1.06281,1.66024,1.27904,0.00439,0.00439,0.00439
